Tweet,Date,Time,Favourite Count
@EvaFoxU @Tesla Sounds like we need to clear up a few things! Tesla won’t use this much net water on a daily basis.… https://t.co/0oi9YhR8yh,25-01-2020,05:17:04,6222
@Erdayastronaut @TrevorMahlmann @Tesla V3 Supercharger deployment will accelerate considerably this year,24-01-2020,18:00:26,7070
https://t.co/sGnhzoThtK,24-01-2020,02:54:47,155746
"@Everman @Erdayastronaut Yeah, system should adapt to most likely destination &amp; anticipate school, then work, if that’s owner preference",23-01-2020,20:33:35,1558
@Everman @Erdayastronaut Definitely,23-01-2020,20:30:47,874
@Erdayastronaut Ok,23-01-2020,20:29:34,13610
"@SciGuySpace We should have a base on the moon, a city on Mars",23-01-2020,15:27:51,6155
@flcnhvy @amancalledscott @ChrisDungeon @mithunoorath I love that Heart of Gold is moved by Infinite Improbability,23-01-2020,06:44:49,3060
@amancalledscott @ChrisDungeon @mithunoorath We should strive to extend the light of consciousness into the cosmos,23-01-2020,06:12:10,15850
@Nicchiban_ Star Peace ✌️,23-01-2020,05:25:05,3967
@GamingSpeedy We’re working on it,22-01-2020,13:04:04,1380
"@AypierreMc Agreed, v important",22-01-2020,12:13:30,31748
@thirdrowtesla Blazing Saddles,22-01-2020,12:02:54,3259
@Kristennetten @tobyliiiiiiiiii Working on it,22-01-2020,07:23:38,1863
@tobyliiiiiiiiii It’s on the list,22-01-2020,07:19:46,12115
Want to play The Witcher game on your Tesla? (you can already watch the show on Tesla Netflix theater),22-01-2020,07:15:20,87093
@ICannot_Enough @thirdrowtesla Explains the sad lack of progress in candy research!,22-01-2020,07:02:27,4964
"@brianm853 Yeah, doors are 40 ft wide",22-01-2020,05:52:01,1389
"@JaneidyEve Yeah, we just finished two more propellant domes. SpaceX team &amp; supporting suppliers are doing amazing… https://t.co/xcdEitlXNY",22-01-2020,05:49:57,3954
@TJ_Cooney @SpaceX Nice shot,22-01-2020,05:47:00,2812
Improved Accommodations https://t.co/iRBK2yIfd7,22-01-2020,05:45:08,64061
@detroitnews Yay!,21-01-2020,23:30:24,6176
@vm_one1 @Exhaustedpengu1 @RationalEtienne Would like to take a moment to thank Michael &amp; Ze’ev for helping Tesla.… https://t.co/yKkJyus8et,21-01-2020,17:07:24,1361
@nichegamer 🤣,21-01-2020,17:02:08,1865
@PicklePunchD @flcnhvy @thirdrowtesla @Gfilche @Sofiaan @Kristennetten @vincent13031925 Walk this way https://t.co/okyi7invhi,21-01-2020,16:29:49,783
@flcnhvy @thirdrowtesla @Gfilche @Sofiaan @Kristennetten @vincent13031925 Great talking with @thirdrowtesla!,21-01-2020,16:24:06,1715
@nichegamer https://t.co/RPcGOjPtfF,21-01-2020,16:17:46,5660
"@vm_one1 @Exhaustedpengu1 @RationalEtienne Michael Marks, then Ze’ev Drori, but I helped out as co-CEO as they didn… https://t.co/z6WLECGESq",21-01-2020,14:10:55,1522
@SpaceX Dragon trunk from in-flight abort test is in surprisingly good shape! https://t.co/IGeffiNh9A,20-01-2020,19:28:20,34547
@John_Gardi @LytovchenkoSerg @Joffan7 @julia_bergeron @NASASpaceflight Exactly,20-01-2020,07:12:23,810
@JimBridenstine @NASA @SpaceX @Commercial_Crew Thanks on behalf of the @SpaceX  team! Thank you also for the suppor… https://t.co/MHO2AkiHmt,20-01-2020,05:19:37,10764
"RT @SpaceX: Crew Dragon separating from Falcon 9 during today’s test, which verified the spacecraft’s ability to carry astronauts to safety…",19-01-2020,19:30:31,0
@thirdrowtesla Haha,19-01-2020,18:40:17,5502
RT @SpaceX: Splashdown of Crew Dragon in the Atlantic Ocean! https://t.co/V1C2Xfd9Mk,19-01-2020,18:39:37,0
RT @SpaceX: Dragon's main parachutes have been deployed https://t.co/SMLK62YXPP,19-01-2020,18:39:33,0
RT @SpaceX: Dragon's drogue chutes deployed nominally https://t.co/vdzIjDmTO7,19-01-2020,18:39:30,0
RT @SpaceX: Dragon’s trunk has deployed https://t.co/bxRPYGpJTx,19-01-2020,18:39:26,0
RT @SpaceX: Dragon has separated from Falcon 9 and its SuperDraco engines have completed their burn https://t.co/tDhogz1qQ9,19-01-2020,18:39:22,0
RT @SpaceX: Liftoff! https://t.co/Ak8lJ3igyW,19-01-2020,18:39:19,0
"RT @NASA: Test complete! Today, @SpaceX completed its In-Flight Abort Test designed to show the #CrewDragon spacecraft’s capability to safe…",19-01-2020,18:38:32,0
"RT @NASA: Today’s @SpaceX In-Flight Abort test, which does not have @NASA_Astronauts onboard the spacecraft, is intended to demonstrate #Cr…",19-01-2020,15:27:32,0
