Date,Close
7-1-2020,469.06
8-1-2020,492.14
9-1-2020,481.34
10-1-2020,478.15
13-1-2020,524.86
14-1-2020,537.92
15-1-2020,518.5
16-1-2020,513.49
17-1-2020,510.5
21-1-2020,547.2
22-1-2020,569.56
23-1-2020,572.2
24-1-2020,564.82
27-1-2020,558.02
28-1-2020,566.9
29-1-2020,580.99
30-1-2020,640.81
31-1-2020,650.57
3-2-2020,780.0
