date,01-02-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

RT @Commercial_Crew: .@SpaceX's uncrewed in-flight abort test is targeted for 8am ET on Jan. 18. This test will show that the #CrewDragon c…,0,20:19:53
@nntaleb Just saw this today. Tesla refunds in general should be easy to get electronically &amp; certainly through cus… https://t.co/crdxxEHQoT,13467,17:09:01
"RT @universal_sci: What it will look like when the sun becomes a red giant 

Credit: ESA/Hubble (M. Kornmesser &amp; L. L. Christensen) https:/…",0,09:49:24


date,16-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@SPEXcast @SciGuySpace What’s amazing is how non-linear the effect of gravity is. Starship can travel by itself fro… https://t.co/lfBw59JXE8,1939,22:51:19
"@SPEXcast @SciGuySpace Densification isn’t needed to return the ship &amp; limited cargo from Mars, but it’s an option… https://t.co/4ES9CWw2lh",1269,22:47:02
"@SciGuySpace Fundamental issue with SLS is that it’s not reusable, which means that a billion dollar rocket is blow… https://t.co/jmGa0HHxif",3377,22:44:07
"@SciGuySpace Densifying hydrogen is difficult, as its liquid temp is close to absolute zero. Much easier with CH4,… https://t.co/O7H9diVQxY",1571,22:41:18
"@Teslarati Sorry, migh have brought the site down",7891,20:12:34
RT @Teslarati: The Boring Company releases new images of Las Vegas project as tunnel nears 50% mark https://t.co/3ukxT2C0EE,0,20:07:42
"RT @NASA: Targeted for Sat., Jan. 18: the final major test before @NASA_Astronauts fly on the @SpaceX #CrewDragon. This @Commercial_Crew in…",0,17:16:43
"Starship orbital vehicle SN1, liquid oxygen header tank &amp; nosecone https://t.co/IaSEdIyZgP",74928,09:35:55


date,17-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@JaneidyEve Yes,1232,22:13:48
Best place to view is from the beach. Excitement guaranteed! https://t.co/6XSiK5dWEn,8366,22:10:12
"Dragon Spacecraft supersonic abort test coming up either tomorrow or Sunday, depending on weather @NASA @SpaceX",28410,22:09:37
RT @NASA: LIVE NOW: Hear from mission experts as they talk about @SpaceX's In-Flight Abort Test. The test will demonstrate #CrewDragon’s ab…,0,22:06:59
@jm_marchante @kekai What should we change?,906,22:02:59
"@kekai Munro’s analysis of Tesla engineering is accurate, both pro &amp; con. I think he will appreciate some elements… https://t.co/zn65OXOzDT",2418,21:55:53
RT @arstechnica: SpaceX will shut down its rocket mid-flight to test Dragon’s escape system https://t.co/316e2oxTjP by @SciGuySpace,0,21:30:05
"@Erdayastronaut @SPEXcast @SciGuySpace Even more important for a a reusable rocket, as cost of propellant actually… https://t.co/BiUiNAl63S",2355,10:31:00
Hehehe https://t.co/bnlN7Vn6bl,263158,09:13:15
@jameslin123321 @Erdayastronaut Helping to pay for this is why I’m accumulating assets on Earth.,6542,02:23:01
"@jameslin123321 @Erdayastronaut Loading the Mars fleet into Earth orbit, then 1000 ships depart over ~30 days every… https://t.co/EwfrhgEeVH",9629,02:14:30
"@mstrwilliam00 @Erdayastronaut Aiming for 20 to 30 years, like aircraft",1476,02:09:23
@Kristennetten @PicklePunchD @Erdayastronaut Yes. There will be a lot of jobs on Mars!,3230,02:08:58
"@PicklePunchD @Erdayastronaut Needs to be such that anyone can go if they want, with loans available for those who don’t have money",2530,02:07:41
@EcoHeliGuy @Erdayastronaut Yeah. A lot of work is needed for propellant production on Mars.,1153,02:05:51
@PRANSHUAGARWA13 @Erdayastronaut Yes,1401,02:03:56
@Erdayastronaut That’s the goal,4970,02:03:03
@Erdayastronaut Building 100 Starships/year gets to 1000 in 10 years or 100 megatons/year or maybe around 100k peop… https://t.co/raLqi3jkSb,5502,02:01:37
"@Erdayastronaut Starship design goal is 3 flights/day avg rate, so ~1000 flights/year at &gt;100 tons/flight, so every… https://t.co/9QkA6RQ9my",7834,01:56:37
Megatons per year to orbit are needed for life to become multiplanetary,66668,01:46:26
@fighteer1 @LCS_Big_Mike @SciGuySpace That’s about right,810,01:43:05
@g33st111 Reaction to Cyberpunk 2077 slipping release date to September,6651,00:40:52


date,18-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

RT @Commercial_Crew: .@NASA and @SpaceX are standing down from today’s #CrewDragon In-Flight Abort test due to poor splashdown and recovery…,0,20:44:40
@EvaFoxU Yes,10604,20:31:26
https://t.co/MHokq4KVEc,89946,15:44:08
Meteor!! https://t.co/PyXbRZR013,309651,09:17:53
RT @SpaceX: Latest weather data suggests sustained winds and rough seas in the recovery area during the top of tomorrow’s four-hour launch…,0,02:36:13


date,19-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

"RT @SpaceX: Crew Dragon separating from Falcon 9 during today’s test, which verified the spacecraft’s ability to carry astronauts to safety…",0,19:30:31
@thirdrowtesla Haha,5502,18:40:17
RT @SpaceX: Splashdown of Crew Dragon in the Atlantic Ocean! https://t.co/V1C2Xfd9Mk,0,18:39:37
RT @SpaceX: Dragon's main parachutes have been deployed https://t.co/SMLK62YXPP,0,18:39:33
RT @SpaceX: Dragon's drogue chutes deployed nominally https://t.co/vdzIjDmTO7,0,18:39:30
RT @SpaceX: Dragon’s trunk has deployed https://t.co/bxRPYGpJTx,0,18:39:26
RT @SpaceX: Dragon has separated from Falcon 9 and its SuperDraco engines have completed their burn https://t.co/tDhogz1qQ9,0,18:39:22
RT @SpaceX: Liftoff! https://t.co/Ak8lJ3igyW,0,18:39:19
"RT @NASA: Test complete! Today, @SpaceX completed its In-Flight Abort Test designed to show the #CrewDragon spacecraft’s capability to safe…",0,18:38:32
"RT @NASA: Today’s @SpaceX In-Flight Abort test, which does not have @NASA_Astronauts onboard the spacecraft, is intended to demonstrate #Cr…",0,15:27:32
"Dragon high altitude, supersonic abort test is a risky mission, as it’s pushing the envelope in so many ways",77934,15:27:06
RT @SpaceX: Watch live as SpaceX tests Crew Dragon’s in-flight launch escape capabilities  https://t.co/lcfz0LS8O9,0,15:25:07
5 mins from liftoff https://t.co/5CHzQBfXrr,39471,15:24:32
RT @SpaceX: Standing down from today’s in-flight Crew Dragon launch escape test attempt due to sustained winds and rough seas in the recove…,0,05:40:24


date,20-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@SpaceX Dragon trunk from in-flight abort test is in surprisingly good shape! https://t.co/IGeffiNh9A,34547,19:28:20
@John_Gardi @LytovchenkoSerg @Joffan7 @julia_bergeron @NASASpaceflight Exactly,810,07:12:23
@JimBridenstine @NASA @SpaceX @Commercial_Crew Thanks on behalf of the @SpaceX  team! Thank you also for the suppor… https://t.co/MHO2AkiHmt,10764,05:19:37


date,21-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@detroitnews Yay!,6176,23:30:24
